configuration,Time,CF
fsst,27.2688,6.404920
fsst,32.479,6.490750
fsst,26.3881,6.388570
fsst,44.8346,3.695210
fsst,30.9361,1.517650
fsst,72.2738,1.701630
fsst,35.5135,2.722820
fsst,29.5911,1.632920
fsst,31.2848,1.439660
fsst,28.6934,2.926470
fsst,28.0101,3.122180
fsst,55.6397,1.689840
fsst,44.3325,2.687810
fsst,33.364,2.811340
fsst,31.826,4.557210
fsst,30.6601,1.454440
fsst,31.6799,1.439660
fsst,44.3188,2.738030
fsst,30.9132,2.341560
fsst,33.3492,3.395090
fsst,54.4394,2.062260
fsst,28.2653,2.752130
fsst,30.3642,1.454440
fsst,43.4211,2.687810
fsst,30.4146,3.528490
fsst,52.3259,1.520080
fsst,56.6386,1.689840
fsst,30.0752,2.084350
fsst,34.9648,2.303070
fsst,30.2385,3.978680
fsst,34.5992,2.752130
fsst,33.993,4.557210
fsst,40.2828,2.570030
fsst,29.7759,2.084350
fsst,32.7904,2.811340
fsst,33.2504,2.774700
fsst,26.7661,5.888420
fsst,35.2028,1.817600
fsst,29.7768,2.947940
fsst,24.5305,1.556730
fsst,24.2995,1.052150
fsst,26.7291,6.514420
fsst,38.1235,1.872390
fsst,31.6477,2.458720
fsst,25.153,3.633920
fsst,25.094,1.541000
fsst,27.3663,3.124160
fsst,46.4808,1.649960
fsst,25.0751,6.872930
fsst,25.6104,2.463820
fsst,27.2145,2.057930
fsst,30.0876,2.081080
fsst,26.1796,3.152040
fsst,24.2357,7.167100
fsst,26.1322,2.097530
fsst,26.419,7.048720
fsst,36.9508,1.867500
fsst,30.2938,2.494050
fsst,47.3745,1.693030
fsst,79.8977,1.931560
fsst,49.4904,1.797330
fsst,29.2694,2.963530
fsst,25.8312,2.676740
fsst,27.1292,3.467730
fsst,25.5991,5.807220
fsst,25.3992,3.174880
fsst,25.9084,6.092130
fsst,30.2986,3.785000
fsst,28.8439,2.364780
fsst,26.8582,1.580650
fsst,24.2765,1.529520
fsst,30.1185,1.688120
fsst,25.6806,3.508270
fsst,28.3901,2.184970
fsst,39.6809,3.013710
fsst,28.1884,1.849870
fsst,31.0323,1.615460
fsst,24.3175,6.976160
fsst,40.1493,2.899070
fsst,59.9519,2.997200
fsst,33.2914,2.201040
fsst,29.475,2.536260
fsst,37.8984,2.150340
fsst,29.113,2.390960
fsst,38.7938,2.805230
fsst,35.0535,2.572620
fsst,39.1041,3.021380
fsst,36.8258,2.150340
fsst,28.4782,2.364780
fsst,30.3952,1.686380
fsst,35.059,2.201010
fsst,24.9535,1.529520
fsst,25.9973,2.487440
fsst,28.5496,2.919320
fsst,35.0706,2.735470
fsst,28.7884,3.005870
