configuration,Time,CF
fsst,174.196,5.541000
fsst,143.707,5.786000
fsst,133.32,6.550000
fsst,312.525,4.160000
fsst,327.761,1.721000
fsst,409.821,1.722000
fsst,298.998,2.984000
fsst,327.379,1.770000
fsst,327.75,1.518000
fsst,288.559,3.281000
fsst,281.722,3.424000
fsst,377.661,1.702000
fsst,316.636,2.921000
fsst,314.488,3.538000
fsst,282.383,5.900000
fsst,344.195,1.539000
fsst,350.377,1.518000
fsst,349.592,2.964000
fsst,339.256,2.670000
fsst,318.902,3.248000
fsst,338.053,2.163000
fsst,327.338,3.062000
fsst,344.035,1.539000
fsst,322.383,2.921000
fsst,306.861,4.283000
fsst,421.604,1.624000
fsst,399.991,1.702000
fsst,344.302,2.173000
fsst,365.352,2.363000
fsst,296.879,5.779000
fsst,321.495,3.062000
fsst,281.895,5.900000
fsst,353.566,2.622000
fsst,347.381,2.173000
fsst,315.981,3.538000
fsst,332.388,2.907000
fsst,149.079,6.771000
fsst,316.638,1.869000
fsst,305.378,4.455000
fsst,248.959,5.362000
fsst,229.108,5.240000
fsst,166.539,6.752000
fsst,380.798,1.979000
fsst,327.97,2.596000
fsst,294.774,4.196000
fsst,291.172,1.624000
fsst,295.387,3.153000
fsst,318.392,1.661000
fsst,131.25,6.830000
fsst,309.835,2.579000
fsst,291.512,2.519000
fsst,324.127,2.487000
fsst,307.542,3.188000
fsst,116.579,5.769000
fsst,306.964,2.140000
fsst,145.943,6.780000
fsst,331.995,1.943000
fsst,310.445,2.581000
fsst,368.367,1.870000
fsst,456.351,1.857000
fsst,338.951,1.980000
fsst,323.041,3.762000
fsst,316.134,4.720000
fsst,280.698,3.592000
fsst,140.754,7.300000
fsst,321.271,3.882000
fsst,143.681,7.287000
fsst,301.431,3.978000
fsst,341.469,2.370000
fsst,312.626,1.598000
fsst,219.857,3.438000
fsst,327.083,1.696000
fsst,278.376,3.901000
fsst,329.165,2.133000
fsst,317.771,3.268000
fsst,311.699,2.062000
fsst,333.54,1.597000
fsst,131.614,5.037000
fsst,306.583,2.890000
fsst,344.02,3.247000
fsst,334.925,2.145000
fsst,339.036,2.734000
fsst,320.387,2.136000
fsst,342.695,2.401000
fsst,323.338,2.931000
fsst,303.81,2.647000
fsst,306.982,3.253000
fsst,329.68,2.136000
fsst,345.017,2.370000
fsst,336.197,1.671000
fsst,339.1,2.349000
fsst,225.328,3.438000
fsst,277.265,2.785000
fsst,323.117,3.456000
fsst,310.432,2.995000
fsst,291.728,3.657000
fsst,396.533,1.772000
fsst,374.179,1.866000
fsst,336.56,2.234000
fsst,317.77,3.839000
fsst,330.391,2.803000
fsst,355.874,3.159000
fsst,326.879,3.257000
fsst,331.863,1.525000
fsst,329.078,3.262000
fsst,373.199,2.575000
fsst,475.452,1.679000
fsst,313.54,2.701000
fsst,331.164,1.821000
fsst,327.798,2.105000
fsst,466.507,1.916000
fsst,277.772,5.500000
fsst,333.45,2.255000
fsst,296.897,2.277000
fsst,289.705,4.938000
fsst,294.271,2.381000
fsst,318.637,1.777000
fsst,305.695,3.420000
fsst,298.775,4.420000
fsst,333.078,1.639000
fsst,345.988,2.332000
fsst,331.503,1.787000
fsst,301.497,1.962000
fsst,291.682,2.351000
fsst,349.285,1.563000
fsst,358.097,1.845000
fsst,329.865,1.618000
fsst,341.671,2.743000
fsst,349.308,2.118000
fsst,358.061,1.874000
fsst,316.51,2.154000
fsst,361.224,1.623000
fsst,312.381,2.002000
fsst,317.566,2.048000
fsst,322.339,2.783000
fsst,314.328,1.817000
fsst,332.492,3.108000
fsst,338.048,2.426000
btrfsst,303.449,5.541000
btrfsst,283.189,5.786000
btrfsst,266.863,6.550000
btrfsst,522.209,3.760000
btrfsst,502.402,1.734000
btrfsst,637.891,1.786000
btrfsst,503.585,2.949000
btrfsst,474.238,1.875000
btrfsst,499.64,1.526000
btrfsst,435.3,3.319000
btrfsst,429.844,3.552000
btrfsst,582.873,1.784000
